,count
rachmaninoff 2,6
tchaikovsky 5,5
scheherazade,4
tchaik romeo and juliet,4
tchaikovsky 6,4
shostakovich 5,4
,3
shostakovich 1,3
mahler 5,3
firebird,3
shostakovich 7,3
sibelius 2,3
beethoven 7,3
beethoven 3,3
ein heldenleben,2
tchaikovsky 4,2
strauss death and transfiguration,2
brahms 4,2
prelude to the afternoon of a fawn,2
dvorak 8,2
prokofiev 7,1
rite of spring,1
1895) 1,1
carmen (either bizet or one of the fantasies with a soloist),1
schnittke 3,1
scriabin 1,1
martinu 4,1
wagner meistersinger overture (the real deal),1
a mozart horn concerto,1
overture to don giovanni,1
pictures at an exhibition,1
https://youtu.be/dqw4w9wgxc 4,1
khachaturian spartacus,1
pines of rome,1
dvorak new world symphony,1
these 3,1
on hearing the first cuckoo in spring delius,1
weber oberon overture,1
prokofiev 5,1
berlioz symphony fantastique,1
daphnis 2,1
rachmaninoff rhapsody on a theme by paganini,1
humperdinck hansel and gretel (overture),1
brahms 3,1
spring song (sibelius,1
le tombeau de couperin,1
copland 3,1
hebrides overture,1
if baldwin has an organ then organ symphony saint-saens,1
eroica,1
bruckner 4,1
bruckner 7,1
bartok concerto for orchestra,1
dvorak 7,1
la mer,1
bernstein on the town,1
prokofiev romeo and juliet,1
festive overture shosty,1
pulcinella,1
holst planets,1
an american in paris,1
korngold violin concerto,1
rachmaninov symphonic dances,1
mahler 9,1
egmont overture,1
moldau,1
finandia,1
mendelssohn 4,1
mendelssohn 3,1
swan lake,1
mahler 4,1
tchaikovsky 1,1
sibelius karelia overture,1
tchaikovsky 2,1
shostakovich 6,1
bruckner 8,1
carnival of the animals,1
 ,1
khachaturian 2,1
if 5,1
